date,high temp,low temp,cumulative precip month,cum precip in year,cum snow month,cum snow year,precip per day,snow per day
1 Jan,57.7,41.7,0.16,0.16,0,0,0.16,0
2 Jan,57.7,41.7,0.28,0.28,0,0,0.12,0
3 Jan,57.7,41.7,0.43,0.43,0,0,0.15,0
4 Jan,57.8,41.7,0.55,0.55,0,0,0.12,0
5 Jan,57.8,41.7,0.71,0.71,0,0,0.16,0
6 Jan,57.8,41.7,0.87,0.87,0,0,0.16,0
7 Jan,57.8,41.7,1.02,1.02,0,0,0.15,0
8 Jan,57.8,41.7,1.18,1.18,0,0,0.16,0
9 Jan,57.9,41.7,1.34,1.34,0,0,0.16,0
10 Jan,57.9,41.7,1.5,1.5,0,0,0.16,0
11 Jan,57.9,41.7,1.65,1.65,0,0,0.15,0
12 Jan,58,41.7,1.81,1.81,0,0,0.16,0
13 Jan,58,41.8,2.01,2.01,0,0,0.2,0
14 Jan,58.1,41.8,2.17,2.17,0,0,0.16,0
15 Jan,58.2,41.8,2.32,2.32,0,0,0.15,0
16 Jan,58.2,41.8,2.48,2.48,0,0,0.16,0
17 Jan,58.3,41.9,2.68,2.68,0,0,0.2,0
18 Jan,58.4,41.9,2.8,2.8,0,0,0.12,0
19 Jan,58.4,42,2.95,2.95,0,0,0.15,0
20 Jan,58.5,42,3.11,3.11,0,0,0.16,0
21 Jan,58.6,42.1,3.27,3.27,0,0,0.16,0
22 Jan,58.7,42.1,3.43,3.43,0,0,0.16,0
23 Jan,58.8,42.2,3.58,3.58,0,0,0.15,0
24 Jan,58.9,42.3,3.78,3.78,0,0,0.2,0
25 Jan,59,42.3,3.94,3.94,0,0,0.16,0
26 Jan,59.1,42.4,4.09,4.09,0,0,0.15,0
27 Jan,59.2,42.5,4.25,4.25,0,0,0.16,0
28 Jan,59.3,42.6,4.45,4.45,0,0,0.2,0
29 Jan,59.5,42.6,4.61,4.61,0,0,0.16,0
30 Jan,59.6,42.7,4.8,4.8,0,0,0.19,0
31 Jan,59.7,42.8,4.96,4.96,0,0,0.16,0
1 Feb,59.8,42.9,0.2,5.16,0,0,0.2,0
2 Feb,60,43,0.39,5.35,0,0,0.19,0
3 Feb,60.1,43.1,0.59,5.55,0,0,0.2,0
4 Feb,60.2,43.2,0.79,5.75,0,0,0.2,0
5 Feb,60.4,43.3,0.98,5.94,0,0,0.19,0
6 Feb,60.5,43.4,1.18,6.14,0,0,0.2,0
7 Feb,60.6,43.5,1.38,6.34,0,0,0.2,0
8 Feb,60.8,43.6,1.57,6.54,0,0,0.2,0
9 Feb,60.9,43.7,1.73,6.73,0,0,0.19,0
10 Feb,61.1,43.8,1.93,6.93,0,0,0.2,0
11 Feb,61.2,43.9,2.13,7.09,0,0,0.16,0
12 Feb,61.3,44,2.32,7.28,0,0,0.19,0
13 Feb,61.5,44.1,2.48,7.48,0,0,0.2,0
14 Feb,61.6,44.2,2.68,7.64,0,0,0.16,0
15 Feb,61.7,44.3,2.83,7.83,0,0,0.19,0
16 Feb,61.9,44.4,3.03,8.03,0,0,0.2,0
17 Feb,62,44.5,3.23,8.23,0,0,0.2,0
18 Feb,62.1,44.6,3.43,8.39,0,0,0.16,0
19 Feb,62.2,44.7,3.58,8.58,0,0,0.19,0
20 Feb,62.3,44.8,3.78,8.78,0,0,0.2,0
