date,high temp,low temp,cumulative precip month,cum precip in year,cum snow month,cum snow year,precip per day,snow per day
1 Jan,28.4,11.1,0.08,0.08,0.51,0.51,0.08,0.51
2 Jan,28.3,10.9,0.2,0.2,0.98,0.98,0.12,0.47
3 Jan,28.1,10.7,0.28,0.28,1.5,1.5,0.08,0.52
4 Jan,28,10.5,0.35,0.35,2.01,2.01,0.07,0.51
5 Jan,27.9,10.3,0.47,0.47,2.52,2.52,0.12,0.51
6 Jan,27.8,10.1,0.55,0.55,2.99,2.99,0.08,0.47
7 Jan,27.7,10,0.63,0.63,3.39,3.39,0.08,0.4
8 Jan,27.7,9.8,0.71,0.71,3.9,3.9,0.08,0.51
9 Jan,27.6,9.7,0.83,0.83,4.41,4.41,0.12,0.51
10 Jan,27.6,9.6,0.91,0.91,4.88,4.88,0.08,0.47
11 Jan,27.6,9.5,0.98,0.98,5.39,5.39,0.07,0.51
12 Jan,27.6,9.4,1.06,1.06,5.91,5.91,0.08,0.52
13 Jan,27.6,9.3,1.14,1.14,6.42,6.42,0.08,0.51
14 Jan,27.6,9.3,1.26,1.26,7.01,7.01,0.12,0.59
15 Jan,27.6,9.2,1.34,1.34,7.52,7.52,0.08,0.51
16 Jan,27.7,9.2,1.42,1.42,7.99,7.99,0.08,0.47
17 Jan,27.8,9.2,1.54,1.54,8.58,8.58,0.12,0.59
18 Jan,27.8,9.2,1.61,1.61,9.09,9.09,0.07,0.51
19 Jan,27.9,9.2,1.69,1.69,9.69,9.69,0.08,0.6
20 Jan,28,9.2,1.77,1.77,10.31,10.31,0.08,0.62
21 Jan,28.1,9.2,1.85,1.85,10.79,10.79,0.08,0.48
22 Jan,28.3,9.3,1.97,1.97,11.42,11.42,0.12,0.63
23 Jan,28.4,9.3,2.05,2.05,12.01,12.01,0.08,0.59
24 Jan,28.5,9.4,2.13,2.13,12.6,12.6,0.08,0.59
25 Jan,28.7,9.5,2.2,2.2,13.19,13.19,0.07,0.59
26 Jan,28.9,9.5,2.28,2.28,13.82,13.82,0.08,0.63
27 Jan,29,9.6,2.36,2.36,14.29,14.29,0.08,0.47
28 Jan,29.2,9.7,2.44,2.44,14.88,14.88,0.08,0.59
29 Jan,29.4,9.8,2.52,2.52,15.51,15.51,0.08,0.63
30 Jan,29.6,9.9,2.6,2.6,15.98,15.98,0.08,0.47
31 Jan,29.8,10,2.68,2.68,16.61,16.61,0.08,0.63
1 Feb,30,10.1,0.08,2.76,0.51,17.09,0.08,0.48
2 Feb,30.2,10.3,0.16,2.83,1.1,17.72,0.07,0.63
3 Feb,30.4,10.4,0.24,2.91,1.61,18.19,0.08,0.47
4 Feb,30.7,10.5,0.35,3.03,2.2,18.82,0.12,0.63
5 Feb,30.9,10.7,0.43,3.11,2.72,19.29,0.08,0.47
6 Feb,31.1,10.8,0.51,3.19,3.31,19.88,0.08,0.59
7 Feb,31.4,11,0.59,3.27,3.82,20.39,0.08,0.51
8 Feb,31.6,11.1,0.67,3.35,4.29,20.91,0.08,0.52
9 Feb,31.8,11.3,0.79,3.46,4.88,21.5,0.11,0.59
10 Feb,32.1,11.5,0.87,3.54,5.39,22.01,0.08,0.51
11 Feb,32.3,11.7,0.94,3.62,5.91,22.52,0.08,0.51
12 Feb,32.6,11.9,1.02,3.7,6.42,22.99,0.08,0.47
13 Feb,32.8,12.1,1.1,3.82,6.89,23.5,0.12,0.51
14 Feb,33.1,12.3,1.18,3.9,7.52,24.09,0.08,0.59
15 Feb,33.4,12.5,1.3,3.98,7.91,24.49,0.08,0.4
16 Feb,33.6,12.7,1.38,4.06,8.39,25,0.08,0.51
17 Feb,33.9,12.9,1.46,4.13,8.9,25.51,0.07,0.51
18 Feb,34.1,13.2,1.57,4.25,9.29,25.91,0.12,0.4
19 Feb,34.4,13.4,1.65,4.33,9.8,26.42,0.08,0.51
20 Feb,34.7,13.6,1.73,4.41,10.2,26.81,0.08,0.39
21 Feb,34.9,13.9,1.81,4.49,10.59,27.2,0.08,0.39
22 Feb,35.2,14.2,1.89,4.57,10.98,27.6,0.08,0.4
23 Feb,35.5,14.4,2.01,4.69,11.5,28.11,0.12,0.51
24 Feb,35.8,14.7,2.09,4.76,11.89,28.5,0.07,0.39
25 Feb,36,15,2.2,4.88,12.28,28.9,0.12,0.4
26 Feb,36.3,15.3,2.28,4.96,12.72,29.29,0.08,0.39
27 Feb,36.6,15.6,2.36,5.08,13.19,29.8,0.12,0.51
28 Feb,36.9,15.9,2.48,5.16,13.58,30.2,0.08,0.4
1 Mar,37.2,16.2,0.08,5.28,0.39,30.59,0.12,0.39
2 Mar,37.5,16.5,0.2,5.35,0.91,31.1,0.07,0.51
3 Mar,37.8,16.8,0.28,5.43,1.3,31.5,0.08,0.4
4 Mar,38.1,17.2,0.35,5.55,1.69,31.89,0.12,0.39
