date,high temp,low temp,cumulative precip month,cum precip in year,cum snow month,cum snow year,precip per day,snow per day
1 Jan,54.9,32.8,0.08,0.08,0,0,0.08,0
2 Jan,54.9,32.8,0.12,0.12,0,0,0.04,0
3 Jan,54.9,32.8,0.16,0.16,0,0,0.04,0
4 Jan,55,32.8,0.24,0.24,0,0,0.08,0
5 Jan,55,32.7,0.28,0.28,0,0,0.04,0
6 Jan,55.1,32.7,0.35,0.35,0,0,0.07,0
7 Jan,55.1,32.7,0.39,0.39,0,0,0.04,0
8 Jan,55.2,32.7,0.47,0.47,0,0,0.08,0
9 Jan,55.2,32.7,0.51,0.51,0,0,0.04,0
10 Jan,55.3,32.7,0.55,0.55,0,0,0.04,0
11 Jan,55.3,32.7,0.63,0.63,0,0,0.08,0
12 Jan,55.4,32.8,0.67,0.67,0,0,0.04,0
13 Jan,55.5,32.8,0.75,0.75,0,0,0.08,0
14 Jan,55.6,32.8,0.79,0.79,0,0,0.04,0
15 Jan,55.6,32.8,0.87,0.87,0,0,0.08,0
16 Jan,55.7,32.8,0.91,0.91,0,0,0.04,0
17 Jan,55.8,32.9,0.98,0.98,0,0,0.07,0
18 Jan,55.9,32.9,1.02,1.02,0,0,0.04,0
19 Jan,56,32.9,1.1,1.1,0,0,0.08,0
20 Jan,56,33,1.18,1.18,0,0,0.08,0
21 Jan,56.1,33,1.26,1.26,0,0,0.08,0
22 Jan,56.2,33.1,1.34,1.34,0,0,0.08,0
23 Jan,56.3,33.1,1.42,1.42,0,0,0.08,0
24 Jan,56.4,33.2,1.5,1.5,0,0,0.08,0
25 Jan,56.5,33.3,1.57,1.57,0,0,0.07,0
26 Jan,56.6,33.3,1.65,1.65,0,0,0.08,0
27 Jan,56.7,33.4,1.73,1.73,0,0,0.08,0
28 Jan,56.8,33.5,1.81,1.81,0,0,0.08,0
29 Jan,56.9,33.6,1.89,1.89,0,0,0.08,0
30 Jan,57,33.7,1.97,1.97,0,0,0.08,0
31 Jan,57.1,33.8,2.05,2.05,0,0,0.08,0
1 Feb,57.2,33.9,0.08,2.17,0,0,0.12,0
2 Feb,57.3,34,0.2,2.24,0,0,0.07,0
3 Feb,57.4,34.1,0.28,2.32,0,0,0.08,0
4 Feb,57.6,34.3,0.35,2.44,0,0,0.12,0
5 Feb,57.7,34.4,0.47,2.52,0,0,0.08,0
6 Feb,57.8,34.6,0.55,2.64,0,0,0.12,0
7 Feb,57.9,34.7,0.67,2.72,0,0,0.08,0
8 Feb,58.1,34.9,0.75,2.83,0,0,0.11,0
9 Feb,58.2,35.1,0.87,2.91,0,0,0.08,0
10 Feb,58.4,35.2,0.98,3.03,0,0,0.12,0
11 Feb,58.5,35.4,1.06,3.15,0,0,0.12,0
12 Feb,58.7,35.6,1.18,3.27,0,0,0.12,0
13 Feb,58.9,35.8,1.3,3.35,0,0,0.08,0
14 Feb,59.1,36,1.42,3.46,0,0,0.11,0
15 Feb,59.3,36.2,1.5,3.58,0,0,0.12,0
16 Feb,59.5,36.4,1.61,3.66,0,0,0.08,0
17 Feb,59.7,36.7,1.73,3.78,0,0,0.12,0
18 Feb,59.9,36.9,1.81,3.86,0,0,0.08,0
19 Feb,60.1,37.1,1.93,3.98,0,0,0.12,0
20 Feb,60.3,37.3,2.01,4.06,0,0,0.08,0
21 Feb,60.6,37.6,2.09,4.17,0,0,0.11,0
22 Feb,60.8,37.8,2.2,4.25,0,0,0.08,0
23 Feb,61.1,38.1,2.28,4.33,0,0,0.08,0
24 Feb,61.3,38.3,2.4,4.45,0,0,0.12,0
25 Feb,61.6,38.6,2.48,4.57,0,0,0.12,0
26 Feb,61.9,38.8,2.6,4.65,0,0,0.08,0
27 Feb,62.1,39.1,2.72,4.76,0,0,0.11,0
28 Feb,62.4,39.4,2.8,4.88,0,0,0.12,0
mar,62.7,39.6,0.12,4.96,0,0,0.08,0
2 Mar,63,39.9,0.2,5.08,0,0,0.12,0
3 Mar,63.3,40.2,0.31,5.16,0,0,0.08,0
4 Mar,63.6,40.4,0.39,5.28,0,0,0.12,0
5 Mar,63.9,40.7,0.51,5.39,0,0,0.11,0
6 Mar,64.3,41,0.63,5.51,0,0,0.12,0
7 Mar,64.6,41.2,0.75,5.59,0,0,0.08,0
8 Mar,64.9,41.5,0.87,5.71,0,0,0.12,0
9 Mar,65.2,41.8,0.94,5.83,0,0,0.12,0
10 Mar,65.6,42,1.06,5.94,0,0,0.11,0
11 Mar,65.9,42.3,1.14,6.02,0,0,0.08,0
12 Mar,66.2,42.6,1.26,6.14,0,0,0.12,0
13 Mar,66.6,42.8,1.38,6.22,0,0,0.08,0
14 Mar,66.9,43.1,1.46,6.34,0,0,0.12,0
15 Mar,67.2,43.3,1.57,6.46,0,0,0.12,0
16 Mar,67.6,43.6,1.69,6.54,0,0,0.08,0
17 Mar,67.9,43.9,1.77,6.65,0,0,0.11,0
18 Mar,68.2,44.1,1.89,6.77,0,0,0.12,0
19 Mar,68.5,44.4,2.01,6.85,0,0,0.08,0
20 Mar,68.9,44.7,2.09,6.97,0,0,0.12,0
21 Mar,69.2,44.9,2.2,7.09,0,0,0.12,0
22 Mar,69.5,45.2,2.32,7.2,0,0,0.11,0
23 Mar,69.8,45.4,2.44,7.28,0,0,0.08,0
24 Mar,70.1,45.7,2.52,7.4,0,0,0.12,0
25 Mar,70.4,46,2.64,7.52,0,0,0.12,0
26 Mar,70.7,46.2,2.76,7.6,0,0,0.08,0
27 Mar,71,46.5,2.83,7.72,0,0,0.12,0
28 Mar,71.3,46.8,2.91,7.8,0,0,0.08,0
29 Mar,71.5,47,3.03,7.91,0,0,0.11,0
30 Mar,71.8,47.3,3.15,7.99,0,0,0.08,0
31 Mar,72.1,47.6,3.23,8.11,0,0,0.12,0
1 Apr,72.4,47.9,0.08,8.19,0,0,0.08,0
2 Apr,72.6,48.1,0.2,8.27,0,0,0.08,0
3 Apr,72.9,48.4,0.28,8.35,0,0,0.08,0
4 Apr,73.1,48.7,0.35,8.46,0,0,0.11,0
5 Apr,73.3,49,0.43,8.54,0,0,0.08,0
6 Apr,73.6,49.3,0.51,8.62,0,0,0.08,0
7 Apr,73.8,49.6,0.59,8.7,0,0,0.08,0
8 Apr,74,49.9,0.71,8.82,0,0,0.12,0
9 Apr,74.3,50.2,0.79,8.9,0,0,0.08,0
10 Apr,74.5,50.5,0.91,8.98,0,0,0.08,0
11 Apr,74.7,50.8,0.98,9.09,0,0,0.11,0
12 Apr,74.9,51.1,1.06,9.17,0,0,0.08,0
13 Apr,75.1,51.5,1.18,9.29,0,0,0.12,0
14 Apr,75.3,51.8,1.3,9.37,0,0,0.08,0
15 Apr,75.5,52.1,1.38,9.49,0,0,0.12,0
16 Apr,75.7,52.4,1.5,9.57,0,0,0.08,0
17 Apr,75.9,52.8,1.57,9.69,0,0,0.12,0
18 Apr,76.2,53.1,1.69,9.8,0,0,0.11,0
19 Apr,76.4,53.5,1.81,9.92,0,0,0.12,0
20 Apr,76.6,53.8,1.93,10.04,0,0,0.12,0
21 Apr,76.8,54.2,2.09,10.16,0,0,0.12,0
22 Apr,77,54.5,2.2,10.28,0,0,0.12,0
23 Apr,77.2,54.8,2.32,10.39,0,0,0.11,0
24 Apr,77.4,55.2,2.44,10.55,0,0,0.16,0
25 Apr,77.6,55.6,2.56,10.67,0,0,0.12,0
26 Apr,77.8,55.9,2.72,10.83,0,0,0.16,0
27 Apr,78,56.3,2.83,10.94,0,0,0.11,0
28 Apr,78.3,56.6,2.99,11.06,0,0,0.12,0
29 Apr,78.5,57,3.11,11.22,0,0,0.16,0
30 Apr,78.7,57.3,3.27,11.34,0,0,0.12,0
1 May,78.9,57.7,0.16,11.5,0,0,0.16,0
2 May,79.2,58,0.31,11.65,0,0,0.15,0
3 May,79.4,58.4,0.47,11.85,0,0,0.2,0
4 May,79.7,58.7,0.67,12.01,0,0,0.16,0
5 May,79.9,59.1,0.83,12.17,0,0,0.16,0
6 May,80.2,59.4,0.98,12.32,0,0,0.15,0
7 May,80.4,59.8,1.14,12.52,0,0,0.2,0
8 May,80.7,60.1,1.3,12.68,0,0,0.16,0
9 May,80.9,60.5,1.46,12.83,0,0,0.15,0
10 May,81.2,60.8,1.61,12.99,0,0,0.16,0
11 May,81.5,61.1,1.77,13.15,0,0,0.16,0
12 May,81.7,61.5,1.97,13.31,0,0,0.16,0
13 May,82,61.8,2.13,13.46,0,0,0.15,0
14 May,82.3,62.1,2.28,13.62,0,0,0.16,0
15 May,82.6,62.4,2.44,13.82,0,0,0.2,0
16 May,82.8,62.8,2.64,13.98,0,0,0.16,0
17 May,83.1,63.1,2.8,14.13,0,0,0.15,0
18 May,83.4,63.4,2.95,14.29,0,0,0.16,0
19 May,83.7,63.7,3.15,14.49,0,0,0.2,0
20 May,84,64,3.27,14.65,0,0,0.16,0
21 May,84.3,64.3,3.46,14.8,0,0,0.15,0
22 May,84.5,64.6,3.62,14.96,0,0,0.16,0
23 May,84.8,64.8,3.78,15.16,0,0,0.2,0
24 May,85.1,65.1,3.94,15.31,0,0,0.15,0
25 May,85.4,65.4,4.09,15.47,0,0,0.16,0
26 May,85.7,65.7,4.25,15.63,0,0,0.16,0
27 May,86,65.9,4.45,15.79,0,0,0.16,0
28 May,86.2,66.2,4.61,15.94,0,0,0.15,0
29 May,86.5,66.5,4.76,16.14,0,0,0.2,0
30 May,86.8,66.7,4.96,16.3,0,0,0.16,0
31 May,87,67,5.12,16.46,0,0,0.16,0
1 Jun,87.3,67.2,0.16,16.61,0,0,0.15,0
2 Jun,87.6,67.4,0.31,16.77,0,0,0.16,0
3 Jun,87.8,67.7,0.43,16.89,0,0,0.12,0
4 Jun,88.1,67.9,0.59,17.05,0,0,0.16,0
5 Jun,88.3,68.1,0.75,17.2,0,0,0.15,0
6 Jun,88.6,68.4,0.87,17.32,0,0,0.12,0
7 Jun,88.8,68.6,1.02,17.48,0,0,0.16,0
8 Jun,89,68.8,1.18,17.64,0,0,0.16,0
9 Jun,89.3,69,1.3,17.76,0,0,0.12,0
10 Jun,89.5,69.2,1.46,17.91,0,0,0.15,0
11 Jun,89.7,69.4,1.57,18.03,0,0,0.12,0
12 Jun,89.9,69.6,1.69,18.15,0,0,0.12,0
13 Jun,90.1,69.8,1.77,18.27,0,0,0.12,0
14 Jun,90.3,70,1.93,18.39,0,0,0.12,0
15 Jun,90.5,70.2,2.01,18.46,0,0,0.07,0
16 Jun,90.7,70.4,2.13,18.58,0,0,0.12,0
17 Jun,90.9,70.5,2.24,18.7,0,0,0.12,0
18 Jun,91.1,70.7,2.36,18.82,0,0,0.12,0
19 Jun,91.3,70.9,2.48,18.94,0,0,0.12,0
20 Jun,91.5,71,2.6,19.06,0,0,0.12,0
21 Jun,91.7,71.2,2.68,19.13,0,0,0.07,0
22 Jun,91.9,71.3,2.8,19.25,0,0,0.12,0
23 Jun,92,71.5,2.91,19.37,0,0,0.12,0
24 Jun,92.2,71.6,2.99,19.45,0,0,0.08,0
25 Jun,92.4,71.8,3.11,19.57,0,0,0.12,0
26 Jun,92.5,71.9,3.19,19.65,0,0,0.08,0
27 Jun,92.7,72,3.31,19.76,0,0,0.11,0
28 Jun,92.9,72.2,3.39,19.84,0,0,0.08,0
29 Jun,93,72.3,3.5,19.96,0,0,0.12,0
30 Jun,93.2,72.4,3.58,20.04,0,0,0.08,0
1 Jul,93.3,72.5,0.12,20.16,0,0,0.12,0
2 Jul,93.5,72.6,0.2,20.24,0,0,0.08,0
3 Jul,93.6,72.7,0.28,20.35,0,0,0.11,0
4 Jul,93.8,72.8,0.39,20.43,0,0,0.08,0
5 Jul,93.9,72.9,0.47,20.51,0,0,0.08,0
6 Jul,94.1,73,0.55,20.59,0,0,0.08,0
7 Jul,94.2,73.1,0.63,20.71,0,0,0.12,0
8 Jul,94.4,73.2,0.75,20.79,0,0,0.08,0
9 Jul,94.5,73.3,0.83,20.87,0,0,0.08,0
10 Jul,94.6,73.3,0.91,20.94,0,0,0.07,0
11 Jul,94.8,73.4,0.98,21.02,0,0,0.08,0
12 Jul,94.9,73.5,1.06,21.1,0,0,0.08,0
13 Jul,95,73.6,1.14,21.18,0,0,0.08,0
14 Jul,95.2,73.6,1.22,21.3,0,0,0.12,0
15 Jul,95.3,73.7,1.3,21.38,0,0,0.08,0
16 Jul,95.4,73.7,1.38,21.46,0,0,0.08,0
17 Jul,95.6,73.8,1.46,21.5,0,0,0.04,0
18 Jul,95.7,73.8,1.54,21.57,0,0,0.07,0
19 Jul,95.8,73.9,1.61,21.65,0,0,0.08,0
20 Jul,95.9,73.9,1.69,21.73,0,0,0.08,0
21 Jul,96,74,1.73,21.81,0,0,0.08,0
22 Jul,96.1,74,1.81,21.85,0,0,0.04,0
23 Jul,96.2,74,1.89,21.93,0,0,0.08,0
24 Jul,96.3,74.1,1.97,22.01,0,0,0.08,0
25 Jul,96.4,74.1,2.01,22.09,0,0,0.08,0
26 Jul,96.5,74.1,2.09,22.13,0,0,0.04,0
27 Jul,96.5,74.1,2.17,22.2,0,0,0.07,0
28 Jul,96.6,74.2,2.2,22.24,0,0,0.04,0
29 Jul,96.7,74.2,2.28,22.32,0,0,0.08,0
30 Jul,96.7,74.2,2.32,22.36,0,0,0.04,0
31 Jul,96.8,74.2,2.4,22.44,0,0,0.08,0
1 Aug,96.8,74.2,0.04,22.48,0,0,0.04,0
2 Aug,96.8,74.2,0.12,22.56,0,0,0.08,0
3 Aug,96.9,74.2,0.16,22.6,0,0,0.04,0
4 Aug,96.9,74.2,0.24,22.68,0,0,0.08,0
5 Aug,96.9,74.2,0.28,22.72,0,0,0.04,0
6 Aug,96.9,74.2,0.35,22.8,0,0,0.08,0
7 Aug,96.8,74.1,0.39,22.83,0,0,0.03,0
8 Aug,96.8,74.1,0.47,22.91,0,0,0.08,0
