STATION,STATION_NAME,DATE,DLY-PRCP-25PCTL,DLY-PRCP-50PCTL,DLY-PRCP-75PCTL,MTD-PRCP-NORMAL,MTD-SNOW-NORMAL,YTD-PRCP-NORMAL,YTD-SNOW-NORMAL,DLY-PRCP-PCTALL-GE001HI,DLY-PRCP-PCTALL-GE010HI,DLY-PRCP-PCTALL-GE050HI,DLY-PRCP-PCTALL-GE100HI,DLY-SNWD-PCTALL-GE001WI,DLY-SNWD-PCTALL-GE010WI,DLY-SNWD-PCTALL-GE003WI,DLY-SNWD-PCTALL-GE005WI,DLY-SNOW-PCTALL-GE001TI,DLY-SNOW-PCTALL-GE010TI,DLY-SNOW-PCTALL-GE100TI,DLY-SNOW-PCTALL-GE030TI,DLY-SNOW-PCTALL-GE050TI,DLY-TAVG-NORMAL,DLY-DUTR-NORMAL,DLY-TMAX-NORMAL,DLY-TMIN-NORMAL,DLY-TAVG-STDDEV,DLY-DUTR-STDDEV,DLY-TMAX-STDDEV,DLY-TMIN-STDDEV
GHCND:USC00040693,BERKELEY CA US,20100101,0.07,0.23,0.61,0.14,0.0,0.14,0.0,353,241,110,46,0,0,0,0,0,0,0,0,0,49.7,16.0,57.7,41.7,4.1,4.8,4.6,4.9
GHCND:USC00040693,BERKELEY CA US,20100102,0.07,0.23,0.61,0.29,0.0,0.29,0.0,354,241,110,46,0,0,0,0,0,0,0,0,0,49.7,16.0,57.7,41.7,4.1,4.8,4.6,4.9
GHCND:USC00040693,BERKELEY CA US,20100103,0.07,0.23,0.61,0.43,0.0,0.43,0.0,354,242,109,46,0,0,0,0,0,0,0,0,0,49.7,16.0,57.7,41.7,4.1,4.8,4.6,4.9
GHCND:USC00040693,BERKELEY CA US,20100104,0.07,0.23,0.60,0.57,0.0,0.57,0.0,354,242,109,46,0,0,0,0,0,0,0,0,0,49.7,16.1,57.8,41.7,4.1,4.9,4.6,4.9
GHCND:USC00040693,BERKELEY CA US,20100105,0.07,0.22,0.60,0.72,0.0,0.72,0.0,354,242,109,45,0,0,0,0,0,0,0,0,0,49.7,16.1,57.8,41.7,4.1,4.9,4.6,4.9
GHCND:USC00040693,BERKELEY CA US,20100106,0.07,0.22,0.60,0.86,0.0,0.86,0.0,354,242,108,45,0,0,0,0,0,0,0,0,0,49.7,16.1,57.8,41.7,4.1,4.9,4.6,4.9
GHCND:USC00040693,BERKELEY CA US,20100107,0.07,0.22,0.60,1.01,0.0,1.01,0.0,353,242,108,45,0,0,0,0,0,0,0,0,0,49.7,16.1,57.8,41.7,4.1,4.9,4.6,4.9
GHCND:USC00040693,BERKELEY CA US,20100108,0.07,0.22,0.60,1.17,0.0,1.17,0.0,353,243,108,45,0,0,0,0,0,0,0,0,0,49.8,16.2,57.8,41.7,4.1,4.9,4.6,4.9
GHCND:USC00040693,BERKELEY CA US,20100109,0.07,0.22,0.60,1.32,0.0,1.32,0.0,353,243,108,45,0,0,0,0,0,0,0,0,0,49.8,16.2,57.9,41.7,4.1,4.9,4.6,4.9
GHCND:USC00040693,BERKELEY CA US,20100110,0.07,0.22,0.60,1.49,0.0,1.49,0.0,353,244,108,46,0,0,0,0,0,0,0,0,0,49.8,16.2,57.9,41.7,4.1,4.9,4.6,4.9
